study,year,location,state,cultivar,planting_date,app_date,growth_stage,brand_name,group,active_ingred,n,mean_sev,mean_yld,v_sev,v_yld,rep,rating_disease,yld_check,v_yld_check,sev_check,v_sev_check
1,2015,TVREC,Alabama,NA,NA,NA,R3,Affiance,QoI+DMI,azoxystrobin+tetraconazole,4,29.75,4912.6125,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,check,check,check,4,45.5,4747.85,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Domark,DMI,tetraconazol,4,8.25,5127.8125,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Fortix,QoI+DMI,fluoxastrobin+flutriafol,4,11.5,4934.46875,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Headline,QoI,pyraclostrobin,4,39.25,4976.5,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Headline+Topguard,QoI+DMI,pyraclostrobin+flutriafol,4,5,5173.20625,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Monsoon,DMI,tebuconazole,4,31,5153.03125,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Priaxor,QoI+SDHI,pyraclostrobin+fluxapyroxad,4,18,5097.55,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Quilt Xcel,QoI+DMI,azoxystrobin+propiconazole,4,44.25,5074.0125,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Stratego YLD,QoI+DMI,trifloxystrobin+prothioconazole,4,33,5008.44375,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Topguard,DMI,flutriafol,4,24.75,4791.5625,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
1,2015,TVREC,Alabama,NA,NA,NA,R3,Topsin XTR,MBC,thiophanate-methyl+tebuconazole,4,33,4912.6125,178.98042929292927,39232.887069128796,NA,NA,4747.85,39232.887069128796,45.5,178.98042929292927
